模型,二元变量数,连续变量数,总变量数,约束数,计算时间_1% (s),计算时间_0.1% (s),总成本 (千$),失负荷概率,平均每小时EENS (MWh),弃风概率,平均每小时弃风 (MWh),支路越限概率,平均每小时越限 (MW)
DUC,624,3120,3744,5924,1.25,12.50,215.2205,1.0000,11.9351,1.0000,19.2074,1.0000,1681.3395
RUC,624,4080,4704,15524,0.16,1.55,227.3240,1.0000,12.8920,1.0000,16.6552,1.0000,1678.3736
SUC1,624,28080,28704,70924,0.81,18.58,41640.2592,0.0000,0.0000,1.0000,1709.5394,1.0000,3043.2000
SUC2,6864,28080,34944,77164,1.07,>10000*,41712.0886,0.0000,0.0000,1.0000,1712.7327,1.0000,3043.2000
