DateTime,SpotPrice_RRP,PredictedPrice_90q
2025-04-07 19:30:00,191.29,1483.3872524181706
2025-04-07 20:00:00,215.12,202.5749909362452
2025-04-07 20:30:00,202.23,642.2138202453629
2025-04-07 21:00:00,182.25,215.89249594264916
2025-04-07 21:30:00,224.2,207.01291337000305
2025-04-07 22:00:00,258.01,242.97602933176532
2025-04-07 22:30:00,281.5,272.6572380689406
2025-04-07 23:00:00,281.72,275.8717927279156
2025-04-07 23:30:00,279.29,378.00581419571785
2025-04-08 00:00:00,290.71,388.2707162310761
2025-04-08 00:30:00,187.68,285.4421516929695
2025-04-08 01:00:00,167.82,222.41294659741408
2025-04-08 01:30:00,186.7,186.6336018801017
2025-04-08 02:00:00,158.27,214.7062691849902
2025-04-08 02:30:00,163.27,177.13418191207325
2025-04-08 03:00:00,156.1,178.57099521966938
2025-04-08 03:30:00,158.68,172.7275828734524
2025-04-08 04:00:00,161.99,182.56893786756476
2025-04-08 04:30:00,166.39,182.64170448073213
2025-04-08 05:00:00,173.24,200.79731658222818
2025-04-08 05:30:00,173.91,205.4108081605652
2025-04-08 06:00:00,192.99,215.42036425936544
2025-04-08 06:30:00,287.56,247.2777649510102
2025-04-08 07:00:00,295.71,290.83171637519035
2025-04-08 07:30:00,81.3,288.41357609406975
2025-04-08 08:00:00,46.0,93.9851758040672
2025-04-08 08:30:00,51.41,68.15071090900653
2025-04-08 09:00:00,36.8,70.32774714840727
2025-04-08 09:30:00,48.98,59.29423458664206
2025-04-08 10:00:00,52.97,66.17921486251815
2025-04-08 10:30:00,34.98,63.91440114493721
2025-04-08 11:00:00,34.98,54.18366531581929
2025-04-08 11:30:00,12.24,52.742844644600126
2025-04-08 12:00:00,49.56,41.34502775133913
2025-04-08 12:30:00,36.69,65.04057430480913
2025-04-08 13:00:00,16.53,62.82322664466753
2025-04-08 13:30:00,20.63,52.894046489833315
2025-04-08 14:00:00,45.45,55.70305433408544
2025-04-08 14:30:00,49.96,69.47993112176165
2025-04-08 15:00:00,48.05,80.23185277833657
2025-04-08 15:30:00,65.45,86.5995636696954
2025-04-08 16:00:00,76.81,92.55834823247572
2025-04-08 16:30:00,109.39,125.2771155320829
2025-04-08 17:00:00,196.14,190.3749548350575
2025-04-08 17:30:00,364.69,271.2436813076919
2025-04-08 18:00:00,242.15,2682.854842911152
2025-04-08 18:30:00,213.83,1113.6361363365222
2025-04-08 19:00:00,234.05,644.1634175398291
2025-04-08 19:30:00,160.22,644.6037624137253
2025-04-08 20:00:00,152.81,180.96391670428633
2025-04-08 20:30:00,153.86,175.05220786812666
2025-04-08 21:00:00,158.9,175.30395586364358
2025-04-08 21:30:00,156.78,185.3174158555142
2025-04-08 22:00:00,124.06,180.0684995519373
2025-04-08 22:30:00,159.33,144.46787608570514
2025-04-08 23:00:00,152.8,188.29450551342572
2025-04-08 23:30:00,159.97,182.271952733405
2025-04-09 00:00:00,140.83,192.28891297157733
2025-04-09 00:30:00,138.51,168.6088790797677
2025-04-09 01:00:00,138.7,149.1290711028483
2025-04-09 01:30:00,137.4,163.55969343406628
2025-04-09 02:00:00,127.68,146.8188697282586
2025-04-09 02:30:00,126.24,138.27451820651325
2025-04-09 03:00:00,119.36,136.92132078258126
2025-04-09 03:30:00,125.85,135.95972645434713
2025-04-09 04:00:00,129.58,136.81897024297808
2025-04-09 04:30:00,137.54,143.26821457142208
2025-04-09 05:00:00,134.47,153.24560810637283
2025-04-09 05:30:00,150.07,155.9374208054983
2025-04-09 06:00:00,163.61,182.83763222658382
2025-04-09 06:30:00,228.68,206.91510519545275
2025-04-09 07:00:00,163.45,258.6883604570894
2025-04-09 07:30:00,88.46,201.60714785090187
2025-04-09 08:00:00,72.84,102.65298984766615
2025-04-09 08:30:00,71.76,85.43504186820962
2025-04-09 09:00:00,35.39,81.45982423433547
2025-04-09 09:30:00,35.93,56.783831615144074
2025-04-09 10:00:00,34.71,56.48339871192281
2025-04-09 10:30:00,43.43,53.488465427703346
2025-04-09 11:00:00,49.11,59.77211729059725
2025-04-09 11:30:00,43.3,62.40259380407929
2025-04-09 12:00:00,44.93,59.991190390062805
2025-04-09 12:30:00,31.6,59.403456510161504
2025-04-09 13:00:00,40.7,52.81735042144816
2025-04-09 13:30:00,50.72,61.505053815764136
2025-04-09 14:00:00,63.01,70.10078771482107
2025-04-09 14:30:00,83.53,82.2283904287969
2025-04-09 15:00:00,86.23,110.5739288361602
2025-04-09 15:30:00,97.28,108.63515247092637
2025-04-09 16:00:00,98.98,152.49669276879433
2025-04-09 16:30:00,165.61,169.66722941019916
2025-04-09 17:00:00,247.66,262.35863652005486
2025-04-09 17:30:00,6191.28,373.81024975415465
2025-04-09 18:00:00,3058.0,15819.678073544295
2025-04-09 18:30:00,242.02,15556.510481478485
2025-04-09 19:00:00,134.65,1084.0863639439403
2025-04-09 19:30:00,217.36,145.25299891883967
2025-04-09 20:00:00,244.59,641.4710353318978
2025-04-09 20:30:00,258.08,293.36298006896345
2025-04-09 21:00:00,181.27,300.1635940691352
2025-04-09 21:30:00,158.97,209.62439832347644
2025-04-09 22:00:00,150.82,188.13198544780198
2025-04-09 22:30:00,156.32,183.82490260933562
2025-04-09 23:00:00,151.65,183.16432863298581
2025-04-09 23:30:00,143.36,179.26661811950245
2025-04-10 00:00:00,137.32,168.36342738339275
2025-04-10 00:30:00,127.7,147.11262984276948
2025-04-10 01:00:00,119.94,136.89127119371338
2025-04-10 01:30:00,114.45,124.77098131103148
2025-04-10 02:00:00,104.81,131.36032795410142
2025-04-10 02:30:00,96.48,106.5943664663308
2025-04-10 03:00:00,88.26,108.12675349458189
2025-04-10 03:30:00,92.3,96.12414287633666
2025-04-10 04:00:00,95.75,104.41854268198945
2025-04-10 04:30:00,86.64,105.04262913012037
2025-04-10 05:00:00,92.51,100.21053767929669
2025-04-10 05:30:00,107.39,107.05980900413151
2025-04-10 06:00:00,116.23,121.50195321150557
2025-04-10 06:30:00,149.54,157.62149224339296
2025-04-10 07:00:00,145.16,194.80823609602936
2025-04-10 07:30:00,111.34,180.0069508996487
2025-04-10 08:00:00,76.71,129.13158657218378
2025-04-10 08:30:00,95.73,83.53784790973357
2025-04-10 09:00:00,62.32,101.27910368896995
2025-04-10 09:30:00,48.31,71.69047572902232
2025-04-10 10:00:00,39.62,66.85412101450946
2025-04-10 10:30:00,18.88,61.165176726469554
2025-04-10 11:00:00,-16.28,47.356710164989025
2025-04-10 11:30:00,3.0,22.595874626935068
2025-04-10 12:00:00,-3.79,36.727572072694954
2025-04-10 12:30:00,15.25,36.19636556607227
2025-04-10 13:00:00,-20.47,48.92839583271641
2025-04-10 13:30:00,11.32,27.301755583302384
2025-04-10 14:00:00,44.41,55.49712054004764
2025-04-10 14:30:00,41.29,70.9386999612118
2025-04-10 15:00:00,84.68,83.58256113706997
2025-04-10 15:30:00,67.91,107.74447709515415
2025-04-10 16:00:00,59.89,103.12296958369922
2025-04-10 16:30:00,132.96,116.72187650091631
2025-04-10 17:00:00,158.43,293.91609330695843
2025-04-10 17:30:00,453.07,350.44226996354087
2025-04-10 18:00:00,761.97,2845.6618656009396
2025-04-10 18:30:00,357.81,2242.0960782256298
2025-04-10 19:00:00,209.87,1414.8000611799866
2025-04-10 19:30:00,161.05,214.14629117812441
2025-04-10 20:00:00,158.5,180.08794034717837
2025-04-10 20:30:00,155.21,179.3906174312524
2025-04-10 21:00:00,130.93,180.1934054471893
2025-04-10 21:30:00,119.37,141.07145611418574
2025-04-10 22:00:00,110.94,140.07664135469992
2025-04-10 22:30:00,106.73,129.24090688160754
2025-04-10 23:00:00,115.89,114.84058447200165
2025-04-10 23:30:00,114.93,133.00001553322656
2025-04-11 00:00:00,115.6,130.16123327426104
2025-04-11 00:30:00,120.74,127.54453073912359
2025-04-11 01:00:00,125.0,129.03926756867753
2025-04-11 01:30:00,119.24,133.52654268420096
2025-04-11 02:00:00,119.19,129.2970481599377
2025-04-11 02:30:00,109.7,129.83885215176306
2025-04-11 03:00:00,111.97,118.96946237935275
2025-04-11 03:30:00,96.89,126.98192404681949
2025-04-11 04:00:00,95.56,112.43724951399201
2025-04-11 04:30:00,120.12,103.03467571483858
2025-04-11 05:00:00,122.97,140.97763390508723
2025-04-11 05:30:00,136.0,144.01891829591094
2025-04-11 06:00:00,159.32,158.56056835440154
2025-04-11 06:30:00,202.89,207.06466800259517
