DateTime,SpotPrice_RRP,PredictedPrice
2025-04-05 13:30:00,-32.99,-27.214136829628764
2025-04-05 14:00:00,-31.72,-27.214136829628764
2025-04-05 14:30:00,-26.56,-23.831772221467652
2025-04-05 15:00:00,-23.9,-20.109116149704057
2025-04-05 15:30:00,-8.17,-16.771128681347896
2025-04-05 16:00:00,66.01,2.646050428500782
2025-04-05 16:30:00,31.92,61.27045472538567
2025-04-05 17:00:00,111.77,43.72508089003131
2025-04-05 17:30:00,221.82,115.46707929785013
2025-04-05 18:00:00,225.3,218.59935048986875
2025-04-05 18:30:00,206.23,203.1147960498971
2025-04-05 19:00:00,171.73,137.55496233666133
2025-04-05 19:30:00,176.8,124.49132734107984
2025-04-05 20:00:00,176.19,127.10117538816178
2025-04-05 20:30:00,182.3,153.0428249101086
2025-04-05 21:00:00,168.5,281.222163273216
2025-04-05 21:30:00,168.67,147.92740047019421
2025-04-05 22:00:00,160.44,178.91461688972024
2025-04-05 22:30:00,158.76,181.37806052755525
2025-04-05 23:00:00,147.44,181.22645622937551
2025-04-05 23:30:00,148.25,148.23843380718606
2025-04-06 00:00:00,128.58,125.45544709034505
2025-04-06 00:30:00,117.52,104.63448086870454
2025-04-06 01:00:00,115.35,97.55741952945043
2025-04-06 01:30:00,93.66,97.67595988201137
2025-04-06 02:00:00,87.32,78.67822936970563
2025-04-06 02:30:00,93.05,75.05656150487022
2025-04-06 03:00:00,86.65,69.94518808574624
2025-04-06 03:30:00,111.54,69.89896623878406
2025-04-06 04:00:00,111.96,83.8400364554212
2025-04-06 04:30:00,100.1,83.8400364554212
2025-04-06 05:00:00,109.03,83.61931216119922
2025-04-06 05:30:00,112.68,84.72065867189374
2025-04-06 06:00:00,109.0,87.68899670205933
2025-04-06 06:30:00,111.96,98.04026338311436
2025-04-06 07:00:00,68.74,103.4584350405719
2025-04-06 07:30:00,8.55,55.03693315968072
2025-04-06 08:00:00,-8.68,9.523672375893286
2025-04-06 08:30:00,1.02,-8.2169840803264
2025-04-06 09:00:00,-22.67,-1.841844505320981
2025-04-06 09:30:00,-27.73,-24.765816268250326
2025-04-06 10:00:00,-30.04,-25.77563352454702
2025-04-06 10:30:00,-29.01,-26.451907161480523
2025-04-06 11:00:00,-27.9,-25.068177379139826
2025-04-06 11:30:00,-28.6,-22.942873075569143
2025-04-06 12:00:00,-30.01,-21.02592180890733
2025-04-06 12:30:00,-29.38,-22.063220496355413
2025-04-06 13:00:00,-29.31,-21.684307860836494
2025-04-06 13:30:00,-27.59,-23.565764007238354
2025-04-06 14:00:00,-25.27,-23.310006026430006
2025-04-06 14:30:00,-9.64,-20.308125684575135
2025-04-06 15:00:00,3.19,-8.336950346722546
2025-04-06 15:30:00,45.26,24.634349370375975
2025-04-06 16:00:00,27.04,49.76044732006773
2025-04-06 16:30:00,68.69,34.55873658095649
2025-04-06 17:00:00,114.71,65.28495919036132
2025-04-06 17:30:00,179.05,112.57532280920393
2025-04-06 18:00:00,267.85,206.24598558789737
