模型,二元变量数,连续变量数,总变量数,约束数,计算时间_1% (s),计算时间_0.1% (s),总成本 (千$),失负荷概率,平均每小时EENS (MWh),弃风概率,平均每小时弃风 (MWh),支路越限概率,平均每小时越限 (MW)
DUC,624,3120,3744,5924,2.78,28.59,1183.5391,0.0277,0.5125,0.0022,0.0230,0.0070,1.0894
RUC,624,4080,4704,15524,2.76,26.25,1145.2244,0.0006,0.0066,0.0016,0.0165,0.0012,0.2871
SUC1,624,28080,28704,70924,1.13,25.99,1127.8300,0.0173,0.2966,0.0050,0.0473,0.0038,0.4036
SUC2,6864,28080,34944,77164,46.39,>10000*,1140.5592,0.0170,0.2899,0.0012,0.0126,0.0043,0.4943
